"","DTP1","HepB_BD","Pol3","Hib3","MCV1"
"1",NA,NA,95,NA,86
"2",NA,NA,96,NA,97
"3",NA,NA,97,NA,97
"4",NA,NA,97,NA,98
"5",NA,NA,97,NA,98
"6",NA,NA,96,NA,97
"7",NA,NA,97,NA,97
"8",NA,NA,24,NA,82
"9",NA,NA,97,NA,98
"10",NA,NA,58,NA,87
"11",NA,NA,74,NA,88
"12",NA,NA,53,NA,82
"13",NA,NA,72,NA,83
"14",NA,NA,79,NA,84
"15",NA,NA,84,NA,89
"16",NA,NA,88,91,88
"17",NA,NA,91,91,91
"18",NA,NA,91,93,91
"19",NA,NA,91,93,92
"20",NA,NA,90,94,92
"21",99,NA,90,93,91
"22",98,NA,89,93,91
"23",97,21,90,93,91
"24",99,39,91,94,93
"25",99,48,92,94,93
"26",99,50,92,94,92
"27",99,50,93,93,92
"28",98,53,93,93,92
"29",99,55,94,91,92
"30",98,60,93,84,90
"31",98,64,94,88,90
"32",98,69,94,94,92
"33",97,72,93,93,91
"34",98,74,93,93,92
"35",98,72,93,93,92
"36",98,72,93,93,92
"37",98,64,94,93,92
"38",98,64,94,93,92
